origin,participant_id,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status,Knowledge of software development techniques ,platform: Desktop,platform: Mobile,platform: Web (Back-end),platform: Web (Front-end),platform: WebAssembly,platform: Server / Infrastructure,platform: IoT / Embedded,platform: Classic AUTOSAR ECU,platform: Adaptive AUTOSAR ECU,platform: Consoles (Xbox / PlayStation / Nintendo etc.),platform: Not decided yet (research / proof of concept),platform: I don't develop anything,platform: Other,softwareType: Automotive Chassis,softwareType: Automotive Drive Train,"softwareType: Automated Driving, Driver Assistance",softwareType: Augmented Reality / Virtual Reality,softwareType: Business Intelligence / Data Science / Machine Learning,softwareType: Blockchain,softwareType: Database / Data Storage,softwareType: Education / Training,softwareType: Entertainment / Infotainment,softwareType: Fintech (Finance),softwareType: Games,softwareType: Hardware,softwareType: Home Automation,softwareType: IT Infrastructure,softwareType: Libraries / Frameworks,softwareType: Programming Tools,softwareType: Security,softwareType: System Software (e.g. OS driver),softwareType: Utilities (small apps for small tasks),softwareType: Websites,softwareType: Other,codeSize,teamSize,testLevel: Unit Tests,testLevel: Component Tests,testLevel: Integration Tests,testLevel: System Tests,testLevel: Software in the loop Tests (i),testLevel: Platform in the loop Tests,testLevel: Hardware in the loop Tests,testLevel: Other,testingPractices: Manual testing,testingPractices: Automated testing,testingPractices: Continuous Integration,testingPractices: Regression Testing,testingPractices: Fuzzing,testingPractices: Property based testing,testingPractices: Parameterized tests,testingPractices: Test generation,testingPractices: Other,frequency,severity,consequences: Rerun of failing tests without analyzing the failure,consequences: Rerun of passing tests assuming hidden bugs,consequences: Developer time gets wasted inspecting flaky failures,consequences: Computing power is spent rerunning flaky tests,consequences: Merging pull-requests is harder because this requires a passing test suite,consequences: Delayed releases,otherConsequences: otherConsequences1,otherConsequences: otherConsequences2,otherConsequences: otherConsequences3,rootCause: Making asynchronous calls without waiting for the result properly (thread.sleep),"rootCause: Race conditions, deadlocks or other concurrency related errors",rootCause: Prior test did not cleanup properly after running (i),rootCause: Another test that should run before your test and set up the environment was not executed (successfully) (i),rootCause: Could not acquire resources because of a resource leak (i),rootCause: Remote connection failure (i),rootCause: Local bad socket management,rootCause: Relying on the system time (i),rootCause: Accessing values that were already deleted by the garbage collector or relying on the garbage collector to have already cleaned up,rootCause: Using randomness without accounting for all possible values,rootCause: Rounding errors when using floating-point operations,rootCause: Assuming a specific order when iterating over unordered collections,rootCause: Asserting a too restrictive range (i),rootCause: Single test takes too long (Test case timeout),rootCause: All tests together take too long (Test suite timeout),"rootCause: Relying on a specific platform (e.g. 32/64 bit, Kernel version)",rootCause: The test infrastructure fails to provide a proper environment (e.g. installing dependencies),rootCause: Reading values from uninitialized variables,rootCause: Differences between compilers likeundefined behavior or compiler optimizations,"rootCause: Using random, non-seeded values for testing",rootCause: Unknown Cause,otherRootCauses: otherRootCause1,otherRootCauses: otherRootCause2,otherRootCauses: otherRootCause3,mitigationStrategies: Rerun failing tests,mitigationStrategies: Rerun test in different environment,mitigationStrategies: Shuffle test order,mitigationStrategies: Mark test as flaky (i),mitigationStrategies: Disable test case,mitigationStrategies: Automatically disable tests that show flaky behavior,mitigationStrategies: Automatically file bug report / issue,mitigationStrategies: Automatically detect flaky tests (i),mitigationStrategies: Automatically debug flaky failures (i),mitigationStrategies: Visualize Flakiness (i),mitigationStrategies: Quantify flakiness (i),mitigationStrategies: Encourage developers to fix their flaky tests through incentives or penalties,otherMitigations: otherMitigations1,otherMitigations: otherMitigations2,otherMitigations: otherMitigations3,wishes
global,0,27.0,Czech Republic,Czech Republic,Full-Time,Czech,Czech Republic,Male,No,,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,1k - 10k LOC,Just me,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A moderate problem,Always,Very Often,Always,Rarely,Sometimes,Very Often,,,,Sometimes,Sometimes,Always,Very Often,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Never,Never,Rarely,Very Often,Very Often,Never,Never,Rarely,Rarely,Rarely,Always,,,,Always,Always,Always,Sometimes,Never,Never,Sometimes,Very Often,Very Often,Rarely,Rarely,Never,,,,"Last few days I am not experiencing flakiness, but it happened on a daily basis few weeks ago and it drove me mad. Well, re-running for a few times fixes it. If not, we write it in a different way and it works."
global,1,20.0,Poland,Poland,Part-Time,Polish,Poland,Male,Yes,,Checked,Checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,1k - 10k LOC,2 - 5,Not checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Monthly,A minor problem,Rarely,Very Often,Very Often,Always,Sometimes,Never,,,,Sometimes,Very Often,Sometimes,Rarely,Never,Never,Rarely,Very Often,Very Often,Always,Always,Very Often,Sometimes,Very Often,Sometimes,Always,Always,Sometimes,Rarely,Rarely,Never,,,,Very Often,Sometimes,Sometimes,Rarely,Very Often,Sometimes,Always,Sometimes,Always,Very Often,Rarely,Not answered,,,,a data set of software or device wth possible flaky tests<br>
global,2,42.0,Sweden,Greece,Full-Time,Swedish,Sweden,Male,No,,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,less than 1k LOC,Just me,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A moderate problem,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,,,,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Never,Never,Rarely,Very Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Never,Very Often,Sometimes,Rarely,Sometimes,,,,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Never,Never,,,,
global,3,18.0,Poland,Poland,Part-Time,Polish,Poland,Male,Yes,,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,1k - 10k LOC,Just me,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Daily,A moderate problem,Rarely,Sometimes,Not answered,Rarely,Rarely,Sometimes,,,,Rarely,Sometimes,Rarely,Not answered,Rarely,Never,Never,Rarely,Not answered,Very Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Never,Rarely,Sometimes,Never,Rarely,Never,,,,Very Often,Always,Not answered,Always,Never,Very Often,Always,Never,Never,Rarely,Rarely,Very Often,,,,hard to say
global,4,22.0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1k - 10k LOC,2 - 5,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A moderate problem,Rarely,Sometimes,Sometimes,Rarely,Very Often,Sometimes,,,,Rarely,Sometimes,Very Often,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Never,Never,Not answered,Sometimes,Very Often,Rarely,Never,Never,Never,Sometimes,,,,Very Often,Sometimes,Very Often,Always,Very Often,Sometimes,Very Often,Rarely,Rarely,Never,Sometimes,Always,,,,More about how to deal with all the components of the flaky tests 
global,5,31.0,Turkey,United States,Full-Time,Turkish,Turkey,Male,Yes,,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,1k - 10k LOC,2 - 5,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,A few times a year,A moderate problem,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,,,,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Very Often,Very Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,,,,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Very Often,Very Often,Sometimes,,,,
global,6,20.0,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,Yes,,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,less than 1k LOC,Just me,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Multiple times per day,A moderate problem,Sometimes,Rarely,Sometimes,Very Often,Sometimes,Never,,,,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Very Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Very Often,Very Often,Always,,,,Sometimes,Not answered,Very Often,Sometimes,Always,Rarely,Rarely,Very Often,Sometimes,Rarely,Sometimes,Sometimes,,,,
global,7,24.0,Poland,Poland,Full-Time,Polish,Poland,Male,No,,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,10k - 100k LOC,Just me,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Multiple times per day,A moderate problem,Sometimes,Very Often,Very Often,Always,Sometimes,Very Often,,,,Sometimes,Very Often,Sometimes,Very Often,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Very Often,Rarely,Rarely,Rarely,Rarely,Rarely,Never,,,,It's problematic to create one tool for all cases. Probably software with capability to quickly debug those tests. 
global,8,23.0,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,Yes,,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,1k - 10k LOC,2 - 5,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,A few times a year,A moderate problem,Sometimes,Rarely,Very Often,Sometimes,Sometimes,Sometimes,,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Rarely,Very Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,,,,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,,,,More information on flacky test or a class to teach me and my group more about flacky test.
global,9,21.0,Portugal,Portugal,Full-Time,Portuguese,Portugal,Male,Yes,"Shell scripting, Web servers",Not checked,Not checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,less than 1k LOC,2 - 5,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Weekly,A moderate problem,Never,Very Often,Very Often,Sometimes,Sometimes,Rarely,,,,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Very Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,,,,Always,Very Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Very Often,,,,Procedures. 
